,0
97,"Décédé le 20 avril 2018 à Mascate dans le sultanat d’Oman, le DJ suédois, Tim Bergling, alias DJ Avicii continue de susciter la polémique sur les dessous de sa mort qui a laissé ses fans dans le désarroi le plus total. Un nouveau rebondissement vient d’animer cette polémique avec la publication du certificat de décès de DJ Avicii qui mentionne la date de sa mort selon le calendrier hégirien, c'est-à-dire le 4 Shaâbane 1439. Si ce choix peut s’expliquer par le calendrier utilisé par les autorités omanaises, un autre détail risque de faire du bruit. En effet, le certificat de décès ne mentionne pas la cause de la mort ce qui est curieux. Rappelons que certaines sources locales ont indiqué que le DJ décédé aurait utilisé un morceau de verre brisé pour se suicider mais sa famille n’a jamais confirmé clairement cette thèse.   "
98,"Le rappeur tunisien Balti invité de Noujoum du samedi 6 janvier 2017 a affirmé avoir reçu des propositions de la part de chanteurs occidentaux et arabes pour des collaborations et ce après le succès enregistré par la chanson Ya Lili ya Lila, avec Hamouda, un enfant doué. Hatem Amour, Hlioua rappeur marocain, Aymen Farhani et plusieurs autres noms ont exprimé leur volonté de travailler avec lui.  Il a également annoncé qu’il y aura une collaboration avec le rappeur Kly BBJ et qu’il avait déjà sorti un clip en attendant un deuxième. Quant aux bénéfices réalisés par la chanson « Ya Lili » , Balti a expliqué que Youtube ne calcule pas les bénéfices selon le nombre de vues mais selon la publicité. Il a ajouté qu’il ne voyait aucune raison de dévoiler ce qu’il gagnait vu que ça ne regarde que lui.      "
99,"Haifa Wehbe présente à ses fans un nouveau titre, AloSabny, extrait de son album ""Hawaa"" qu’elle prévoit de sortir dans quelques semaines. La date de sortie de son album n’a pas été précisée.  "
100,"Le ministre du tourisme, René Trabelsi a indiqué sur les ondes de Mosaïque FM à l’occasion des ""Dunes Électroniques"" à Tozeur que plus de cinq mille touristes participent à cet événement et ce malgré la baisse des températures dans cette région. Il a ajouté que ces événements contribuent à la promotion du tourisme saharien. Rappelons que les Dunes Électroniques se poursuivent jusqu’à 20h00 de ce dimanche 17 novembre 2019. 






volume





0:00






0:00


JavaScript is required.


Play / pause








René Trabelsi








    


    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur



    	Dunes électroniques : Une soirée exceptionnelle au cœur du Sahara de Tozeur





jQuery(document).ready(function($) {
	$(""#gallery-14434"").royalSlider({
    	fullscreen: { enabled: true, nativeFS: true },
    	controlNavigation: ""thumbnails"",
    	autoScaleSlider: true, 
    	autoScaleSliderWidth: 160,     
    	autoScaleSliderHeight: 90,
    	loop: false,
    	imageScaleMode: ""fit-if-smaller"",
   	 	navigateByClick: true,
   	 	numImagesToPreload:2,
    	arrowsNav:true,
    	arrowsNavAutoHide: true,
    	arrowsNavHideOnTouch: true,
    	keyboardNavEnabled: true,
    	fadeinLoadedSlide: true,
    	globalCaption: true,
    	globalCaptionInside: true,
    	thumbs: { appendSpan: true, firstMargin: true, paddingBottom: 4 }
  	});
});
   "
101,"Les quatre membres du légendaire groupe pop suédois ABBA se sont retrouvés pour enregistrer deux nouvelles chansons, 35 ans après leur dernier album. ""Nous avons tous les quatre pensé que, après 35 ans, ça serait marrant d'unir nos forces et d'aller dans un studio d'enregistrement. Alors on l'a fait"", a expliqué dans un communiqué le groupe aux 400 millions d'albums.   L'un des deux titres, ""I still have faith in you"" sera repris par leurs avatars numériques au cours d'un show télévisé en décembre produit par les chaînes britannique BBC et américaine NBC. ""Nous avons beau avoir vieilli, la chanson est nouvelle. Et ça fait du bien"", ont ajouté les stars. Agnetha Fältskog, Anni-Frid Lyngstad, Björn Ulvaeus et Benny Andersson se sont séparés en 1982 après avoir régné sur la planète disco pendant plus d'une décennie avec des titres comme ""Waterloo"", ""Dancing Queen"", ""Mamma Mia"" ou encore ""Super Trouper"". Le groupe, qui s'était produit sur scène une dernière fois en 1986, n'avait jamais été dissous mais les quatre artistes affirmaient résolument qu'ils ne chanteraient plus ensemble. ""La décision de poursuivre le projet excitant d'une tournée par les avatars a pris une tournure inattendue"", ont constaté les artistes dans le communiqué. Pour eux, se retrouver en studio, fut une ""expérience extrêmement joyeuse"". ""C'est comme si le temps s'était arrêté et que nous revenions de courtes vacances"", ont-ils écrit. "
102,"Le coup d'envoi de la 5ème édition des Journées musicales de Carthage (JMC) se tiendra le 29 septembre à la salle de l'Opéra avec un spectacle animé par le musicien Zied Zouari a indiqué, lors d'une conférence de presse, tenue jeudi, le directeur de la 5ème édition Achref Chargui. Coïncidant avec le 40ème jour du décès du chanteur Hassan Dahmani, la soirée de la clôture et la remise de prix se tiendra le 6 octobre et sera marquée par un hommage à la mémoire du célèbre chanteur tunisien Hassan Dahmani et ce, avec la participation d'une pléiade d'artistes sous la direction du maestro Abderrahmane Ayadi, a annoncé le directeur en passant en revue les différents points forts de la programmation des JMC. Placée sous le signe ""De la place pour tout le monde"", les JMC se veulent une opportunité pour tous les musiciens et les jeunes créateurs tunisiens désireux de se faire connaître à l'échelle nationale et internationale, a souligné Achref Chargui, en signalant que la direction a reçu 258 projets musicaux de toutes les régions de la Tunisie. Avec un budget de 600 mille dinars, les JMC se sont fixées pour objectif de valoriser l'image de la Tunisie à l'étranger avec une programmation riche et variée et la participation de 25 nationalités, a fait savoir le directeur. S'étalant du 29 septembre au 6 octobre 2018, la nouvelle édition des JMC s'ouvre sur tous les genres musicaux et invite toutes les ambiances musicales en proposant 8 compétitions:  - JMC Kids : une compétition pour la promotion des jeunes talents âgés de 6 à 13 ans (dimanche 30 septembre).  - JMC Live Band : une compétition pour la stimulation de la création à travers le groupement d'artistes de différents styles musicaux (lundi 1 octobre)  - JMC POP.TN : une compétition destinée à la promotion des expressions fondatrices de l'identité musicale populaire de la Tunisie (mardi 2 octobre)  - JMC Virtuoses : une compétition pour récompenser l'excellence en matière de performance instrumentale et vocale (mercredi 3 octobre)  - JMC Hip Hop : une compétition de la meilleure vidéo illustrant les différentes tendances de la culture populaire urbaine afro-américaine (Rap, Hip Hop, R&B, Funk). Cette compétition aura lieu le jeudi 4 octobre.  - JMC Electro: une compétition dédiée à la musique contemporaine et la musique électronique (vendredi 5 octobre).  Tout au long des journées des compétitions, un concert ouvert au public sera organisé à partir de 22h00 et sera animé par des artistes de renommée à l'instar de Tarek Arbi Tarkan (30 septembre), le bluesman Lucky Peterson (1er octobre), le Trio Bollywood (2 octobre), le musicien turc Murat Sakaryali (3octobre), Orakle & A.LA (4octobre) et une pléiade des meilleurs DJ internationaux comme Dj Vendetta pour la soirée des JMC electro (5 octobre).  En plus des 6 compétitions dédiées aux genres musicaux, Achref Chargui a mentionné que deux autres compétitions sont programmées à savoir un concours international pour le luth et le prix international de Musicologie ""Mahmoud Guettat"".  A ce sujet, le directeur des JMC a expliqué que la Tunisie accueillera pour la première fois un concours international dédié au luth dans le cadre des ""JMC Symposium"" qui se tiendra du 4 au 6 octobre 2018 au Palais du Baron d'Erlanger à Sidi Bou Saïd. Ce concours organisé durant les JMC vise à rassembler des virtuoses de différents pays arabes, européens et asiatiques. A l'issue de l'événement, seront décernés aux trois gagnants trois luths d'une valeur totale de 15.000 dinars tunisiens.  Tout au long de la manifestation, des master class, des tables rondes, des rencontres B to B, des ateliers de formation, les matinales culturelles, ainsi qu'un salon destiné à l'industrie musicale seront programmés.  En marge des compétitions structurant la manifestation, les JMC offrent plusieurs événements périphériques pendant les journées à savoir des formations, des tables rondes autour des problématiques relatives au secteur de l'art (le modèle de financement des projets artistiques, la création de ligue digitale et le développement de l'art) ou encore des rencontres entre artistes et hommes de culture.  L'une des nouveautés des JMC consiste en l'introduction du concept ""JMC El Kharja"" a rappelé le directeur en précisant que cette manifestation s'inscrit dans le cadre de la décentralisation culturelle et la valorisation du patrimoine musical de la Tunisie avec l'organisation d'un spectacle musical soufi nommé ""El Kharja"" joué simultanément dans les 24 gouvernorats du pays.  Dans la continuité des précédentes éditions des JMC, la direction de cette cinquième session a tenu aussi à établir des partenariats avec plusieurs pays étrangers à l'instar de la Côte d'Ivoire ou de l'Italie afin de permettre aux musiciens tunisiens de se produire dans les pays partenaires ou de se former dans le cadre de résidences artistiques.  Parmi les partenariats établis à l'échelle nationale, la direction des JMC a conclu un partenariat avec la direction de la prison Borj Erroumi afin de permettre à des prisonniers de pouvoir participer dans la compétition destinée à la musique populaire ""Pop TN"" a mentionné Achref Chargui.     "
103,"Le chanteur tunisien Saber Rebaï est intervenu ce lundi 3 juin 2019 dans Romdhane Show pour parler de sa nouvelle chanson ''Bye bye''.    La chanson devait être publiée au mois de Ramdan mais Saber a préféré attendre jusqu'à l'aïd. L'album sera lancé après dix jours.   Un clip pour cette chanson sera tourné au Liban par Walid Nacif. Ce dernier a adoré cette chanson et vu les problèmes administratifs, le tournage sera fait au Liban. Toute l'équipe est au Liban et le travail sera plus facile, a-t-il expliqué.   Saber a ajouté que l'album contient une deuxième chanson tunisienne. L'album a été produit par Rotana, a noté le chanteur.     "
104,"Le ministre du Tourisme René Trabelsi a affirmé que le pèlerinage de Ghriba est devenu un événement international, suivi par la presse mondiale. Il a également affirmé que  des juifs originaires de  Tunisie sont de retour après 40 ans d'absence, ""ce qui est une marque d'un retour de confiance"", selon lui.  Cet événement religieux qui coïncide, cette année,avec le mois saint de Ramadan est un message de la Tunisie et sa capacité à la cohabitation pacifique des différentes religions.  René TRabelsi a ajouté que l'objectif était de multiplier aux maximum les nombre des visiteurs dans les trois prochaines années, d'autant plus qu'il a déjà doublé par rapport à l'année dernière. 






volume





0:00






0:00


JavaScript is required.


Play / pause








René Trabelsi








 "
105,"De la musique traditionnelle tunisienne au flamenco en passant par la chanson africaine tribale, la banlieue nord de Tunis célèbre la Fête de la Musique, ce vendredi 21 juin 2019, par un concert diversifié ainsi qu’un concours de jeunes talents en musique.  La corniche de la Marsa constitue la scène principale qui offre un moment de musique unique entre artistes et mélomanes qui se poursuit de 20h jusqu’à minuit. La fête de la musique en Banlieue de Tunis, est aussi célébrée à Gammarth Village et à Bhar Lazreg (de 18h à 19h30). Parmi les artistes invités Salah el Farzit et Amani Harrabi ainisi que les groupes ""Toros live band"" et ""Les percussions de Guinée"".  L’entrée est ouverte au large public pour assister gratuitement à cet événement placé sur le thème ""La Fête de la Musique pour tous"" et organisé en partenariat entre la municipalité de la Marsa et le mécène privé MG Motors. A travers cet événement musical, le mécène privé s’investit dans une nouvelle action de promotion de la culture, après avoir organisé ""The Tunisians"", une manifestation dédiée à la photographie et à l’entrepreneuriat culturel.  Le principe de base du concours, consiste à envoyer les vidéos des performances musicales sur la page Facebook du mécène. Les artistes sont présélectionnés en fonction du nombre des ""like"" (j’aime) obtenus. Chaque participant est tenu d’interpréter un titre de son choix sur l’une des trois scènes installées spécialement pour l’occasion. Au terme de la soirée, le gagnant sera sélectionné par un vote ouvert au public présent qui sera le jury de cette soirée musicale.  Le vainqueur gagnera un accompagnement artistique, en l’occurrence, l’enregistrement d’un single dans un studio professionnel. Dans un pays qui regorge de jeunes artistes désireux de montrer leurs talents au monde, les organisateurs proposent de financer la production du premier single du gagnant.  (tap)   


    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa



    	Fête de la musique à la Marsa





jQuery(document).ready(function($) {
	$(""#gallery-13051"").royalSlider({
    	fullscreen: { enabled: true, nativeFS: true },
    	controlNavigation: ""thumbnails"",
    	autoScaleSlider: true, 
    	autoScaleSliderWidth: 160,     
    	autoScaleSliderHeight: 90,
    	loop: false,
    	imageScaleMode: ""fit-if-smaller"",
   	 	navigateByClick: true,
   	 	numImagesToPreload:2,
    	arrowsNav:true,
    	arrowsNavAutoHide: true,
    	arrowsNavHideOnTouch: true,
    	keyboardNavEnabled: true,
    	fadeinLoadedSlide: true,
    	globalCaption: true,
    	globalCaptionInside: true,
    	thumbs: { appendSpan: true, firstMargin: true, paddingBottom: 4 }
  	});
});
 "
106,"Le compositeur de musique électronique Fred Rister, à l'origine de tubes planétaires comme ""I Gotta Feeling"" des Black Eyed Peas et compositeur de l'ombre du DJ français David Guetta, est mort, ce mardi, à l'âge de 58 ans. Producteur et compositeur originaire de Dunkerque, dans le nord de la France, il a collaboré avec David Guetta depuis les années 2000 et co-écrit plusieurs grands succès, remportant notamment en 2010 un Grammy Award pour le titre ""When Love Takes Over"". Il avait souffert de plusieurs cancers et arrêté ses traitements en 2017.  "
107,"  C'est à travers sa page Facebook officielle suivie par près de 15000 abonnés et son compte instagram que la nouvelle voix montante de la chanson tunisienne a annoncé sa participation à The Voice sur la chaîne MBC.  Un tremplin pour elle qui lui permettra peut être de conquérir l'univers de la chanson arabe voire internationale. Les téléspectateurs peuvent déjà la voir dans une vidéo promotionnelle annonçant son passage à la télévision prévu dans la soirée du samedi à partir de 19h30. Le jury approuve la participante, toujours d'après le spot publicitaire.   "
108,"Le chanteur tunisien, Mehdi Ayachi a remporté la cinquième édition du concours The Voice, organisée par la chaîne MBC.   "
109,"Lancée par une association connue sous l'appellation en arabe de ""Bood 7"", une fête animée par le chanteur engagé Yasser Jradi et le groupe de musique HOOT Band a été organisé à la mémoire des deux petites filles ""Sourour et Rahma"", victimes de l'incendie du foyer de Thala.  Les fonds récoltés seront versés aux deux familles.   "
